,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_cosine_4_isomap_768,0.3589,0.8798,0.1899,2.5,194.9
kmeans_cosine_7_isomap_10,0.3972,0.8862,0.2042,2.5,224.7
spectral_5_PCA_7,0.4015,0.8835,0.2019,2.5,230.8
kmeans_cosine_7_PCA_768,0.3686,0.8876,0.1955,2.5,183.7
spectral_7_PCA_7,0.4065,0.8814,0.2084,2.6,217.1
agglomerative_cosine_4_PCA_7,0.4036,0.8856,0.2024,2.6,207.6
specter_simcse_agglomerative_7_isomap_10,0.2561,0.8263,0.1297,2.6,249.2
specter_simcse_kmeans_5_isomap_5,0.2451,0.834,0.1307,2.7,253.9
scibert_average_agglomerative_4_PCA_7,0.1698,0.6911,0.0613,2.7,325.3
agglomerative_cosine_3_PCA_3,0.3912,0.8905,0.2115,2.7,192.5
scibert_average_kmeans_3_PCA_3,0.1534,0.69,0.0591,2.7,317.0
agglomerative_4_isomap_7,0.3963,0.884,0.204,2.8,190.6
kmeans_cosine_2_PCA_7,0.393,0.8947,0.2234,2.8,178.7
agglomerative_5_PCA_10,0.387,0.8854,0.1953,2.8,182.5
scibert_average_agglomerative_5_isomap_3,0.1506,0.6969,0.0593,2.8,299.0
scibert_average_kmeans_7_isomap_3,0.1597,0.6983,0.0593,2.9,307.5
specter_simcse_kmeans_7_isomap_3,0.2372,0.8304,0.1314,2.9,255.3
specter_simcse_agglomerative_3_isomap_3,0.2566,0.8411,0.1355,3.0,247.9
specter_simcse_kmeans_2_isomap_2,0.2368,0.8392,0.1281,3.0,246.6
scibert_average_agglomerative_7_isomap_3,0.1483,0.6924,0.0581,3.0,309.7
specter_simcse_agglomerative_7_PCA_7,0.2418,0.8304,0.1238,3.0,249.5
scibert_average_kmeans_7_PCA_10,0.1674,0.7078,0.0653,3.0,336.1
specter_simcse_kmeans_5_isomap_7,0.2669,0.8378,0.1351,3.0,253.5
specter_simcse_agglomerative_4_isomap_5,0.2545,0.8421,0.1458,3.1,249.1
scibert_average_agglomerative_3_PCA_3,0.1525,0.6971,0.0614,3.1,315.7
scibert_average_agglomerative_5_isomap_7,0.1404,0.6877,0.0574,3.1,304.1
specter_simcse_agglomerative_4_isomap_7,0.2451,0.8324,0.1336,3.1,261.7
specter_simcse_agglomerative_2_isomap_7,0.2426,0.8402,0.1345,3.2,250.5
