,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_3_isomap_3,0.3819,0.8831,0.2014,1.8,187.1
agglomerative_5_PCA_768,0.3804,0.8805,0.19,2.0,201.7
spectral_5_PCA_3,0.3799,0.8849,0.1939,1.5,194.8
kmeans_3_PCA_3,0.3791,0.8864,0.2064,2.1,189.2
agglomerative_2_PCA_10,0.3789,0.8989,0.2139,2.1,173.7
spectral_7_PCA_3,0.3777,0.8868,0.1835,1.9,186.6
kmeans_cosine_5_isomap_5,0.3773,0.8656,0.198,1.7,229.8
kmeans_cosine_3_PCA_10,0.3753,0.8419,0.143,1.5,273.4
kmeans_3_PCA_768,0.3748,0.8872,0.2114,2.4,186.1
kmeans_cosine_5_PCA_5,0.3739,0.8112,0.1088,2.0,339.6
kmeans_cosine_3_PCA_3,0.3736,0.8018,0.1123,1.7,325.2
spectral_5_PCA_768,0.3728,0.7764,0.1514,1.8,339.9
agglomerative_cosine_5_PCA_768,0.3724,0.8833,0.1859,2.2,200.5
agglomerative_cosine_5_isomap_768,0.3724,0.8833,0.1859,2.2,200.5
kmeans_cosine_3_PCA_2,0.3717,0.7879,0.1179,1.7,339.3
agglomerative_7_PCA_7,0.3714,0.8864,0.1974,2.1,196.1
kmeans_cosine_4_PCA_5,0.3693,0.8074,0.098,1.4,351.7
kmeans_cosine_7_PCA_768,0.3686,0.8876,0.1955,2.5,183.7
spectral_3_PCA_2,0.3685,0.8931,0.2094,1.8,173.9
kmeans_cosine_7_PCA_5,0.3684,0.8605,0.1384,2.0,301.1
kmeans_cosine_4_PCA_10,0.3659,0.8014,0.1285,2.0,292.4
agglomerative_cosine_7_PCA_768,0.3637,0.8818,0.1757,1.4,200.6
agglomerative_cosine_7_isomap_768,0.3637,0.8818,0.1757,1.4,200.6
kmeans_cosine_7_isomap_768,0.3628,0.8853,0.1955,2.1,205.2
agglomerative_cosine_4_isomap_768,0.3589,0.8798,0.1899,2.5,194.9
agglomerative_cosine_4_PCA_768,0.3589,0.8798,0.1899,2.5,194.9
kmeans_cosine_4_PCA_2,0.3542,0.8072,0.095,1.9,376.9
kmeans_cosine_5_PCA_10,0.354,0.8262,0.1193,2.0,313.9
kmeans_cosine_3_PCA_7,0.3507,0.8083,0.1127,1.7,338.1
