name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
Αγγελος Ρουσκας,Angelos Rouskas,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,2069,Angelos Rouskas,nmpzcwUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Ρούσκας,Georgios Rouskas,Computer Science,North Carolina State University ,North Carolina State University ,Καθηγητής,516,George N. Rouskas,tmuBOhwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Σαββίδης,Antonios Savvidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,10816,Anthony Savidis,m0b5D28AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Σάμψων,Dimitrios Sampson,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,1155,Demetrios Sampson,v_IaAIcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαρία - Αικατερίνη Σατρατζέμη,Maria - Aikaterini Satratzemi,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,5697,Maya Satratzemi,meKnrOkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κυριάκος Σγάρμπας,Kyriakos Sgarmpas,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,18767,Kyriakos Sgarbas (Κυριάκος Σγάρμπας),TTgOnWAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Σεβρόγλου,Vasileios Sevroglou,Στατιστικής και Ασφαλιστικής Επιστήμης,Πανεπιστήμιο Πειραιώς,unipi,Αναπληρωτής Καθηγητής,17261,Vassilios Sevroglou,K7yLAhEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Τιμολέων Σελλής,Timoleon Sellis,Swinburne University of Technology,Swinburne University of Technology,Swinburne University of Technology,Καθηγητής,4653,Timos Sellis,G1Iux80AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Σεργιάδης,Georgios Sergiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,19216,George Sergiadis,TmGjsAoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Σερπάνος ,Dimitrios Serpanos ,Ηλεκτρολόγων Μηχ και Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18500,Dimitrios Serpanos,vblYhbcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Σιδηρόπουλος,Nikolaos Sidiropoulos, Electrical and Computer Engineering,University of Virginia,University of Virginia,Professor,4255,Nikolaos Sidiropoulos,ZOkfkFMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σπυρίδων Σιούτας,Spyridon Sioutas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,6743,Spyros Sioutas,F9-WPBoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στυλιανός Σίσκος ,Stylianos Siskos ,Φυσικής,ΑΠΘ,auth,Καθηγητής,17844,Stelios Siskos,r26FLSsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σωτήρης Σκεβούλης,Sotiris Skevoulis,School of Computer Science and Information Systems,Pace University,Pace University,Kαθηγητής,1723,Sotirios Skevoulis,xDLX2i0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαράλαμπος Σκιάνης,Charalampos Skianis,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,Πανεπιστήμιο Αιγαίου,aegean, Καθηγητής,18470,Charalabos Skianis,DEdnDtgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Σκόδρας,Athanasios Skodras,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,2250,Athanassios Skodras,dFBXodcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Σμαραγδάκης,Ioannis Smaragdakis,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,3347,Yannis Smaragdakis,XCJuXcgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μάκης (Γεράσιμος) Σολωμός,Makis (Gerasimos) Solomos,Département de Musique,"Université Paris 8, EMDCM, France","Université Paris 8, EMDCM, France",Καθηγητής,6076,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0
Δημήτριος Σούντρης,Dimitrios Sountris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18456,Dimitrios Soudris,lWuTmpEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Σπανουδάκης,Georgios Spanoudakis,Computer Science,City University London,City University London,Καθηγητής,10542,George Spanoudakis,XQSvrAwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαρία Σπηλιοπούλου,Maria Spiliopoulou,Technical and Business Information Systems,Otto-von-Guericke University Magdeburg,Otto-von-Guericke University Magdeburg,Καθηγητής,11496,Myra Spiliopoulou,3r6LmdAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Διομήδης Σπινέλλης,Diomidis Spinellis,Διοικητικής Επιστήμης και Τεχνολογίας,ΟΠΑ,aueb,Καθηγητής,17574,Diomidis Spinellis,RjXNgA8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Στάθης,Konstantinos Stathis, Computer Science,"Royal Holloway, University of London","Royal Holloway, University of London",Καθηγητής,9780,Kostas Stathis,6Kwf-xkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευστάθιος  Σταματάτος ,Efstathios  Stamatatos ,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,6081,Efstathios Stamatatos,xie8sAEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Σταματίου,Ioannis Stamatiou,Διοίκησης Επιχειρήσεων,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,3834,Yannis Stamatiou,Uz9SJtgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Σταματόπουλος,Panagiotis Stamatopoulos,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Επίκουρος Καθηγητής (Μόνιμος),10419,Panagiotis Stamatopoulos,SZ4kZr0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Στάμου,Georgios Stamou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,16773,Giorgos Stamou,R3y5dxMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Σταμούλης,Georgios Stamoulis,Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,3733,George Stamoulis,5uRFCLsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,8110,Unknown,Unknown,Unknown,Unknown,Alexandros Stavdas,Alexandros-Stavdas-2,profile,3
Ιωάννης  Σταυρακάκης,Ioannis  Stavrakakis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,10847,Ioannis Stavrakakis,Dh6B_hQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας-Γεώργιος Σταφυλοπάτης,Andreas-Georgios Stafylopatis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18625,Unknown,Unknown,A. Stafylopatis,1684529,Unknown,Unknown,Unknown,2
Κωνσταντίνος Στεργίου,Konstantinos Stergiou,Μηχανικών Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Δυτικής Μακεδονίας,uowm,Καθηγητής,19516,Kostas Stergiou,Om3gYEYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Λάμπρος Στεργιούλας,Lampros Stergioulas, Business Transformation,University of Surrey,University of Surrey,Καθηγητής,163,Lampros Stergioulas,ZGNS6y0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Στεφανίδης,Konstantinos Stefanidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18530,Constantine Stephanidis,EBXa1RQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Στρατής,Ioannis Stratis,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,18095,IOANNIS G. STRATIS,hlS6MNcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ελένη Στρούλια,Eleni Stroulia, Computer Science,University of Alberta,University of Alberta,Καθηγητής,2219,Eleni Stroulia,TyM1dLwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Στυλιανού,Ioannis Stylianou,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9558,Yannis Stylianou,6ZSjpdwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος  Συβρίδης,Dimitrios  Syvridis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,9533,Dimitris Syvridis,eTLulVMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19447,Unknown,Unknown,Unknown,Unknown,Efstathios D. Sykas,Efstathios-Sykas,profile,3
Αντώνιος Συμβώνης,Antonios Symvonis,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,19932,Antonios Symvonis,EHH_0W8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Συμεωνίδης,Andreas Symeonidis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,19319,Andreas L. Symeonidis,339uVZQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Συρακούλης,Georgios Syrakoulis,Ηλεκτρολόγων Μηχ & Μηχ Η/Υ,ΔΠΘ,duth,Καθηγητής,1354,Georgios Ch. Sirakoulis,WhBartYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Σύρης,Vasileios Syris,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,19845,Vasilios A. Siris,Vj3O0cEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,Πανεπιστήμιο Πειραιως,unipi,Καθηγητής,8003,Unknown,Unknown,Unknown,Unknown,Michael Sfakianakis,Michael-Sfakianakis,profile,3
Χρίστος Σχίζας,Christos Schizas,Computer Science,University of Cyprus,University of Cyprus,Καθηγητής,2728,Christos N. Schizas,RrUhoesAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παύλος - Πέτρος Σωτηριάδης,Pavlos - Petros Sotiriadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,4578,Paul Sotiriadis,UtDXmH8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Ταραμπάνης,Konstantinos Tarampanis,Οργάνωσης και Διοίκησης Επιχειρήσεων,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,19611,Konstantinos Tarabanis,4Er0PfgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Ταρουδάκης,Michail Taroudakis,Μαθηματικών και Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9652,Michael Taroudakis,dvcyLcQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Τζανετάκης,Georgios Tzanetakis, Computer Science,"University of Victoria, Canada","University of Victoria, Canada",Καθηγητής,384,George Tzanetakis,yPgxxpwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ελπίδα Τζαφέστα,Elpida Tzafesta,Ιστορίας και Φιλοσοφίας της Επιστήμης,ΕΚΠΑ,uoa,Αναπληρωτής Καθηγητής,6163,Unknown,Unknown,E. Tzafestas,3010458,Unknown,Unknown,Unknown,2
Αθανάσιος Τζιμογιάννης,Athanasios Tzimogiannis,Κοινωνικής & Εκπαιδευτικής Πολιτικής,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,5404,Athanassios Jimoyiannis,-rBR13oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Τζιρίτας,Georgios Tziritas,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,4745,Georgios Tziritas,mIh2JWAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Δημήτριος Τζοβάρας , Dimitrios Tzovaras ,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,ΕΚΕΤΑ,certh,Διευθυντής Ερευνών,18358,Dimitrios Tzovaras,bZZYuE0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεόδωρος Τζουραμάνης,Theodoros Tzouramanis,Πληροφορική με Εφαρμογές στη Βιοϊατρική,Πανεπιστήμιο Θεσσαλίας,uth,Επίκουρος Καθηγητής (Μόνιμος),1166,Theodoros Tzouramanis,Csb5gNYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στυλιανός  Τζωρτζάκης,Stylianos  Tzortzakis,Επιστήμης και Τεχνολογίας Υλικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9644,Stelios Tzortzakis,nMJ0DjAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Τιγκελης ,Ioannis Tigkelis ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,18131,Ioannis Tigelis,9CBNSZsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Τόλλης,Ioannis Tollis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18418,Ioannis G. Tollis,KmWfVqoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Τόμπρας ,Georgios Tompras ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,11382,George Tombras,X0y8TooAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γιώργος Τουρλάκης,Giorgos Tourlakis,Department of Electrical Engineering and Computer Science,York University,York University,Καθηγητής,7037,george tourlakis,ubosF3IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Παναγιώτης Τραχανιάς , Panagiotis Trachanias ,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,9346,Panos Trahanias,MwSYJxsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Τσακαλίδης,Panagiotis Tsakalidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,4141,Panagiotis Tsakalides,hSdkUuwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Φίλιππος Τσαλίδης,Filippos Tsalidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,ΔΠΘ,duth,Καθηγητής,10999,Philippos Tsalides,xRpwVsoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Τσαμαρδίνος,Ioannis Tsamardinos,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,5078,Ioannis Tsamardinos,7fendUwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Τσανάκας,Panagiotis Tsanakas,Ηλεκτρολόγων Μηχ.& Μηχ. Υπολογιστών  ,ΕΜΠ,ntua,Καθηγητής,19188,Panayiotis Tsanakas,UdV8-qIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Τσαουσίδης,Vasileios Tsaousidis,Ηλεκτρολόγων Μηχ.& Μηχ Η/Υ,ΔΠΘ,duth,Καθηγητής,5340,vassilis tsaoussidis,m3AXAvcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Τσαπάρας,Panagiotis Tsaparas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Αναπληρωτής Καθηγητής,6621,Panayiotis Tsaparas,Rmds8IcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλας Τσαπατσούλης,Nikolas Tsapatsoulis, Communication and Internet Studies,Τεχνολογικό Πανεπιστήμιο Κύπρου,cut, Καθηγητής,9900,Nicolas Tsapatsoulis,HGKpT4MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Τσιατούχας,Georgios Tsiatouchas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,4752,Yiorgos Tsiatouhas,gHsE8pYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Τσίχλας,Konstantinos Tsichlas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Επίκουρος Καθηγητής (Μόνιμος),22141,Kostas Tsichlas,-KUXfxsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Τσιχριντζής,Georgios Tsichrintzis,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,11000,George A Tsihrintzis,QUC1ebEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Δημήτριος  Τσουκαλάς, Dimitrios  Tsoukalas,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,19738,Dimitris Tsoukalas,4hv-l94AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Τσουμάκος,Dimitrios Tsoumakos,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,6960,Dimitrios Tsoumakos,IS2FI1oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Τυροπάνης,Athanasios Tyropanis,School of Electronics and Computer Science,University of Southampton,University of Southampton,Αναπληρωτής Καθηγητής,54,Thanassis Tiropanis,T0MK3pUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτα Φατούρου,Panagiota Fatourou,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγήτρια,9534,Panagiota Fatourou,ZgHRkcUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Φικιώρης,Georgios Fikioris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17895,George Fikioris,q2lX-zgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Άννα Φιλίππου,Anna Filippou,Πληροφορικής,University of Cyprus,University of Cyprus,Αναπληρωτής Καθηγητής,6899,Anna Philippou,Yk7t7mEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Φλώρος ,Andreas Floros ,Τεχνών Ήχου και Εικόνας,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,18999,Andreas Floros,mb7ezlMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Ιωάννης Φούντος , Ioannis Fountos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστημιο Ιωαννίνων,uoi,Καθηγητής,265,Ioannis Fudos,sx3Y4NsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευγενία Φουστούκου,Evgenia Foustoukou,Πληροφορικής,ΟΠΑ,aueb,Επίκουρος Καθηγητής (Μόνιμος),3689,Eugenie Foustoucos,5mes4FYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Φραντζεσκάκης ,Dimitrios Frantzeskakis ,Φυσικής,ΕΚΠΑ,uoa,Καθηγητής,18518,Dimitri Frantzeskakis,Iu51sgYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Φωτάκης,Dimitrios Fotakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,15257,Dimitris Fotakis,zFDLf0UAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Χαλκιαδάκης,Georgios Chalkiadakis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,19169,Georgios Chalkiadakis,KdYD5-cAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαρία Χαλκίδη,Maria Chalkidi,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Αναπληρωτής Καθηγητής,2891,M Halkidi,FknZ1Q8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνης Χαραλαμπόπουλος,Antonis Charalampopoulos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,3667,Antonios Charalambopoulos,VOpTcaMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλέξανδρος Χατζηγεωργίου,Alexandros Chatzigeorgiou,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,7433,Alexander Chatzigeorgiou,D4ixXl8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Άρτεμις - Γεωργία Χατζηγεωργίου,Artemis - Georgia Chatzigeorgiou,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,19058,Artemis Hatzigeorgiou,iGhiEpEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευριπίδης Χατζηκρανιώτης,Evripidis Chatzikraniotis,Φυσικής,ΑΠΘ,auth,Καθηγητής,9997,E Hatzikraniotis,K5h2ihoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θανάσης Χατζηλάκος,Thanasis Chatzilakos,Πληροφοριακά Συστήματα,Ανοικτό Πανεπιστήμιο Κύπρου,ouc,Καθηγητής,1632,Thanasis Hadzilacos,01kuev4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βάσος Χατζηλάκος,Vasos Chatzilakos,Επιστήμης Υπολογιστών,University of Toronto,University of Toronto,Καθηγητής,9285,Unknown,Unknown,Unknown,Unknown,Vassos Hadzilacos,Vassos-Hadzilacos-3217201,scientific-contributions,3
Λεόντιος Χατζηλεοντιάδης,Leontios Chatzileontiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,17409,Leontios J. Hadjileontiadis,OfAkcXkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Χατζηλυγερούδης,Ioannis Chatzilygeroudis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,10476,Ioannis Hatzilygeroudis,RPWrgsgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλκιβιάδης Χατζόπουλος ,Alkiviadis Chatzopoulos ,ΗΜΜΥ,ΑΠΘ,auth,Καθηγητής,18940,Unknown,Unknown,Unknown,Unknown,Alkis A. Hatzopoulos,Alkis-Hatzopoulos,profile,3
Ευθύμιος Χούσος,Efthymios Chousos,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,2753,Efthymios Housos,nmB_QBoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλης Χριστοφίδης,Vasilis Christofidis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,6780,Vassilis Christophides,MdUjsa8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Χρυσαφίνος,Konstantinos Chrysafinos,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,23527,Unknown,Unknown,Unknown,Unknown,Konstantinos Chrysafinos,Konstantinos-Chrysafinos-2148196013,scientific-contributions,3
Βασίλειος Χρυσικόπουλος,Vasileios Chrysikopoulos,Πληροφορικής,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,4753,Unknown,Unknown,Unknown,Unknown,Vassileios Chrissikopoulos,Vassileios-Chrissikopoulos,profile,3
Θεόδωρος Χωρίκης,Theodoros Chorikis,Μαθηματικών,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,9969,Theodoros Horikis,9VDoWOEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Ψαράκης,Emmanouil Psarakis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,1032,Emmanouil Psarakis,gqDlpycAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Ψαρράς,Ioannis Psarras,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17431,John Psarras,AMoT_2wAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κων/νος Ψυχαλίνος ,Kon/nos Psychalinos ,Φυσικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18360,Costas Psychalinos,05wUSN4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
